temperature,humidity,air_flow,mrt,pmv
26.2,41.0,0.15,23.75,-0.03
26.2,41.0,0.15,23.75,-0.03
28.6,44.0,0.21,26.32,0.51
28.6,44.0,0.21,26.32,0.51
26.2,53.0,0.08,25.57,0.43
26.2,53.0,0.08,25.57,0.43
26.2,53.0,0.08,25.57,0.43
26.2,53.0,0.08,25.57,0.43
23.6,50.0,0.12,24.76,-0.24
23.6,50.0,0.12,24.76,-0.24
23.6,50.0,0.12,24.76,-0.24
23.6,50.0,0.12,24.76,-0.24
23.6,50.0,0.12,24.76,-0.24
23.6,50.0,0.12,24.76,-0.24
23.6,50.0,0.12,24.76,-0.24
23.6,50.0,0.12,24.76,-0.24
23.6,50.0,0.12,24.76,-0.24
23.6,50.0,0.12,24.76,-0.24
23.6,50.0,0.12,24.76,-0.24
23.6,50.0,0.12,24.76,-0.24
28.3,49.0,0.11,27.66,0.96
28.3,49.0,0.11,27.66,0.96
28.3,49.0,0.11,27.66,0.96
28.3,49.0,0.11,27.66,0.96
28.3,49.0,0.11,27.66,0.96
28.3,49.0,0.11,27.66,0.96
26.9,47.0,0.22,27.48,0.37
26.9,47.0,0.22,27.48,0.37
26.9,47.0,0.22,27.48,0.37
26.9,47.0,0.22,27.48,0.37
26.9,47.0,0.22,27.48,0.37
26.9,47.0,0.22,27.48,0.37
26.9,47.0,0.22,27.48,0.37
26.9,47.0,0.22,27.48,0.37
26.9,47.0,0.22,27.48,0.37
26.9,47.0,0.22,27.48,0.37
26.9,47.0,0.22,27.48,0.37
26.9,47.0,0.22,27.48,0.37
26.9,47.0,0.22,27.48,0.37
26.9,47.0,0.22,27.48,0.37
26.9,47.0,0.22,27.48,0.37
26.9,47.0,0.22,27.48,0.37
24.9,47.0,0.1,26.79,0.3
24.9,47.0,0.1,26.79,0.3
24.9,47.0,0.1,26.79,0.3
24.9,47.0,0.1,26.79,0.3
24.9,47.0,0.1,26.79,0.3
24.9,47.0,0.1,26.79,0.3
24.9,47.0,0.1,26.79,0.3
24.9,47.0,0.1,26.79,0.3
24.9,47.0,0.1,26.79,0.3
28.0,47.0,0.44,29.66,0.35
28.0,47.0,0.44,29.66,0.35
28.0,47.0,0.44,29.66,0.35
28.0,47.0,0.44,29.66,0.35
28.0,47.0,0.44,29.66,0.35
28.0,47.0,0.44,29.66,0.35
28.0,47.0,0.44,29.66,0.35
32.0,63.0,0.14,31.16,2.23
32.0,63.0,0.14,31.16,2.23
32.0,63.0,0.14,31.16,2.23
32.0,63.0,0.14,31.16,2.23
32.0,63.0,0.14,31.16,2.23
23.2,69.0,1.08,26.63,-1.4
23.2,69.0,1.08,26.63,-1.4
23.2,69.0,1.08,26.63,-1.4
23.2,69.0,1.08,26.63,-1.4
23.2,69.0,1.08,26.63,-1.4
23.2,69.0,1.08,26.63,-1.4
23.2,69.0,1.08,26.63,-1.4
23.2,69.0,1.08,26.63,-1.4
23.2,69.0,1.08,26.63,-1.4
23.2,69.0,1.08,26.63,-1.4
23.2,69.0,1.08,26.63,-1.4
23.2,69.0,1.08,26.63,-1.4
23.2,69.0,1.08,26.63,-1.4
23.2,69.0,1.08,26.63,-1.4
23.2,69.0,1.08,26.63,-1.4
27.0,52.0,0.23,28.93,0.57
27.0,52.0,0.23,28.93,0.57
27.0,52.0,0.23,28.93,0.57
27.0,52.0,0.23,28.93,0.57
27.0,52.0,0.23,28.93,0.57
27.0,52.0,0.23,28.93,0.57
27.0,52.0,0.23,28.93,0.57
27.0,52.0,0.23,28.93,0.57
27.0,52.0,0.23,28.93,0.57
27.0,52.0,0.23,28.93,0.57
27.0,52.0,0.23,28.93,0.57
27.0,52.0,0.23,28.93,0.57
27.0,52.0,0.23,28.93,0.57
26.6,51.0,0.11,26.92,0.59
26.6,51.0,0.11,26.92,0.59
26.6,51.0,0.11,26.92,0.59
26.6,51.0,0.11,26.92,0.59
26.6,51.0,0.11,26.92,0.59
26.6,51.0,0.11,26.92,0.59
26.6,51.0,0.11,26.92,0.59
26.6,51.0,0.11,26.92,0.59
26.6,51.0,0.11,26.92,0.59
26.6,51.0,0.11,26.92,0.59
26.6,51.0,0.11,26.92,0.59
26.6,51.0,0.11,26.92,0.59
26.6,51.0,0.11,26.92,0.59
26.6,51.0,0.11,26.92,0.59
31.6,67.0,0.03,31.45,2.32
31.6,67.0,0.03,31.45,2.32
31.6,67.0,0.03,31.45,2.32
31.6,67.0,0.03,31.45,2.32
31.6,67.0,0.03,31.45,2.32
31.6,67.0,0.03,31.45,2.32
30.9,72.0,0.78,30.32,1.01
30.9,72.0,0.78,30.32,1.01
30.9,72.0,0.78,30.32,1.01
30.9,72.0,0.78,30.32,1.01
30.9,72.0,0.78,30.32,1.01
30.9,72.0,0.78,30.32,1.01
27.4,56.0,0.44,26.44,0.0
27.1,63.0,0.01,26.47,0.79
27.1,63.0,0.01,26.47,0.79
27.1,63.0,0.01,26.47,0.79
27.7,55.0,0.03,26.76,0.87
27.7,55.0,0.03,26.76,0.87
27.7,55.0,0.03,26.76,0.87
27.7,55.0,0.03,26.76,0.87
29.0,56.0,0.02,28.69,1.38
29.0,56.0,0.02,28.69,1.38
29.0,56.0,0.02,28.69,1.38
29.0,56.0,0.02,28.69,1.38
30.3,53.0,0.85,29.09,0.48
30.3,53.0,0.85,29.09,0.48
30.3,53.0,0.85,29.09,0.48
30.3,53.0,0.85,29.09,0.48
29.8,51.0,0.7,25.24,0.12
29.8,51.0,0.7,25.24,0.12
29.8,51.0,0.7,25.24,0.12
29.2,48.0,0.04,26.21,0.97
29.2,48.0,0.04,26.21,0.97
27.6,45.0,0.62,15.63,-1.08
27.6,45.0,0.62,15.63,-1.08
27.6,45.0,0.62,15.63,-1.08
27.6,45.0,0.62,15.63,-1.08
30.3,53.0,0.85,29.09,0.48
28.9,50.0,0.12,29.55,1.33
28.9,50.0,0.12,29.55,1.33
28.9,50.0,0.12,29.55,1.33
28.9,50.0,0.12,29.55,1.33
28.9,50.0,0.12,29.55,1.33
28.9,50.0,0.12,29.55,1.33
33.2,69.0,0.27,34.38,2.55
33.2,69.0,0.27,34.38,2.55
33.2,69.0,0.27,34.38,2.55
33.2,69.0,0.27,34.38,2.55
33.2,69.0,0.27,34.38,2.55
27.1,46.0,0.01,26.31,0.63
27.1,46.0,0.01,26.31,0.63
27.1,46.0,0.01,26.31,0.63
27.1,46.0,0.01,26.31,0.63
27.1,46.0,0.01,26.31,0.63
27.1,46.0,0.01,26.31,0.63
29.3,53.0,0.13,29.47,1.4
29.3,53.0,0.13,29.47,1.4
29.3,53.0,0.13,29.47,1.4
29.3,53.0,0.13,29.47,1.4
29.3,53.0,0.13,29.47,1.4
29.3,53.0,0.13,29.47,1.4
31.0,47.0,0.9,30.69,0.66
31.0,47.0,0.9,30.69,0.66
31.0,47.0,0.9,30.69,0.66
31.0,47.0,0.9,30.69,0.66
31.0,47.0,0.9,30.69,0.66
29.4,45.0,0.05,29.24,1.42
29.4,45.0,0.05,29.24,1.42
29.4,45.0,0.05,29.24,1.42
29.4,45.0,0.05,29.24,1.42
29.4,45.0,0.05,29.24,1.42
29.4,45.0,0.05,29.24,1.42
29.4,48.0,0.95,30.66,0.3
29.4,48.0,0.95,30.66,0.3
29.4,48.0,0.95,30.66,0.3
28.3,53.0,0.01,30.01,1.43
28.3,53.0,0.01,30.01,1.43
28.3,53.0,0.01,30.01,1.43
28.3,53.0,0.01,30.01,1.43
28.3,53.0,0.01,30.01,1.43
28.3,53.0,0.01,30.01,1.43
27.0,54.0,0.18,28.63,0.74
27.0,54.0,0.18,28.63,0.74
27.0,54.0,0.18,28.63,0.74
27.0,54.0,0.18,28.63,0.74
26.3,60.0,0.64,27.95,-0.25
26.3,60.0,0.64,27.95,-0.25
26.3,60.0,0.64,27.95,-0.25
26.3,60.0,0.64,27.95,-0.25
26.3,60.0,0.64,27.95,-0.25
